code,name,cf_sales20161,rateofreturn20161,cf_nm20161,cf_liabilities20161,cashflowratio20161,cf_sales20162,rateofreturn20162,cf_nm20162,cf_liabilities20162,cashflowratio20162,cf_sales20163,rateofreturn20163,cf_nm20163,cf_liabilities20163,cashflowratio20163,cf_sales20164,rateofreturn20164,cf_nm20164,cf_liabilities20164,cashflowratio20164,cf_sales20171,rateofreturn20171,cf_nm20171,cf_liabilities20171,cashflowratio20171,cf_sales20172,rateofreturn20172,cf_nm20172,cf_liabilities20172,cashflowratio20172,cf_sales20173,rateofreturn20173,cf_nm20173,cf_liabilities20173,cashflowratio20173,cf_sales20174,rateofreturn20174,cf_nm20174,cf_liabilities20174,cashflowratio20174,cf_sales20181,rateofreturn20181,cf_nm20181,cf_liabilities20181,cashflowratio20181
600861,北京城乡,0.0418,0.006999999999999999,1.0845,0.0153,3.5332,0.0295,0.0085,0.8703,0.0184,4.9122,0.2774,0.1074,6.0566,0.2186,44.0142,0.33,0.1908,9.3102,0.4124,65.0383,0.2125,0.031,4.463,0.0698,11.0509,0.0636,0.0179,1.7114,0.0415,6.7422,0.042,0.0167,1.2236,0.04,5.9599,0.0122,0.0068,0.3275,0.0173,2.4421,0.0662,0.0094,2.0713,0.0256,3.4451
000933,神火股份,0.0426,0.0029,0.3813,0.0035,0.469,0.0796,0.0122,1.0339,0.0149,1.9011,0.0951,0.0215,1.4678,0.0262,3.3905,0.0362,0.0118,,0.0139,1.7892,0.1333,0.0113,2.0813,0.0133,1.6635,0.1139,0.02,1.7121,0.0237,2.9847,0.0982,0.0264,1.5929,0.0314,3.9253,0.057999999999999996,0.0203,3.5759,0.0238,2.9210000000000003,0.0661,0.0058,4.9565,0.0068,0.8131
002119,康强电子,-0.0237,-0.0042,-0.6539,-0.0081,-0.8566,0.106,0.0408,2.7591,0.0811,8.5683,0.0534,0.0315,1.2807,0.0609,6.6793,0.1307,0.0985,3.0654,0.1875,20.1734,0.0105,0.0018,0.1741,0.0034,0.3642,-0.0538,-0.0188,-0.8056,-0.0348,-3.6644,-0.0163,-0.009000000000000001,-0.2358,-0.0171,-1.7898,0.012,0.0094,0.2094,0.0182,1.9046,0.066,0.0137,1.091,0.0275,2.8945
000518,四环生物,0.7652,0.044000000000000004,,0.1073,11.1715,0.2321,0.0284,,0.0646,6.6959,0.1084,0.0217,2.6391,0.0495,5.117,0.0354,0.0114,2.0646,0.0285,2.8573,-0.2587,-0.0228,-2.31,-0.0522,-5.2592,-1.4933,-0.3188,-15.2599,-1.2273,-123.8926,-1.1329,-0.34299999999999997,-8.964,-1.3251,-133.4093,-0.0312,-0.0116,-1.0127,-0.0421,-4.2485,0.066,0.0062,1.0987,0.0235,2.3741
300481,濮阳惠成,0.2147,0.0345,1.2811,0.4891,66.8735,0.1413,0.0543,0.7872,0.7351,97.5745,0.1825,0.109,1.1,1.6124,216.7104,0.1542,0.111,0.8969,0.9037,105.9849,-0.0505,-0.0085,-0.3358,-0.0759,-8.9618,-0.0345,-0.016,-0.24600000000000002,-0.1283,-14.8056,0.0486,0.0329,0.3441,0.2404,27.0871,0.0776,0.0664,0.5706,0.3588,39.7696,0.0656,0.0114,0.4698,0.0675,7.297999999999999
000659,珠海中富,0.1251,0.0152,,0.0223,3.1312,0.0654,0.0173,,0.0252,3.4961,0.1095,0.0476,,0.0694,7.0117,0.1604,0.0992,,0.1209,12.2188,0.09300000000000001,0.0125,,0.015,1.6517,0.095,0.0278,7.898,0.0336,7.9,0.1027,0.0515,3.3836,0.0637,16.4819,0.1785,0.1089,3.1701,0.1399,38.9038,0.0652,0.0092,,0.0117,3.2069
601069,西部黄金,0.2796,0.0373,2.8593,0.1109,13.8464,0.2267,0.0528,2.019,0.1558,19.3718,0.166,0.0563,1.3405,0.1646,20.2675,0.2293,0.095,2.0176,0.2595,31.1246,0.3837,0.0493,2.3324,0.16,20.208,0.2174,0.0495,1.3872,0.1527,18.9712,0.0359,0.0124,,0.0332,4.0042,0.1603,0.0902,10.2327,0.2811,35.1023,0.0651,0.0043,,0.0139,1.7546
600603,广汇物流,-29.9101,-0.0897,,-0.0562,-6.6417,-44.7159,-0.1403,,-0.0841,-10.0043,-49.993,-0.1592,,-0.0919,-10.8955,0.0647,0.0063,0.1653,0.0179,8.3675,-0.1429,-0.0028,-0.2959,-0.0082,-4.0189,0.1231,0.0049,0.3305,0.0208,4.7568,-1.4602,-0.0692,-4.1345,-0.2111,-83.4205,0.0641,0.0075,0.1971,0.0197,4.4241,0.0647,0.002,0.1863,0.0051,1.0994
002823,凯中精密,0.1159,,1.1043,,,0.1044,0.048,0.9724,0.0859,10.6273,0.0835,,0.7384,,,0.0929,0.0636,0.8051,0.1661,22.238000000000003,0.1001,0.0207,0.9125,0.0609,7.6781,0.0948,0.0384,0.8346,0.1185,14.9298,0.07400000000000001,0.0415,0.6541,0.1129,13.4548,0.1191,0.0843,1.0811,0.201,23.0585,0.0645,0.0113,0.6222,0.0272,3.1143
002066,瑞泰科技,0.0349,0.0044,1.8069,0.0058,0.6592,-0.0185,-0.0047,-1.6153,-0.0062,-0.7275,0.0646,0.0243,2.5713,0.0325,3.8156,0.076,0.0394,7.1132,0.0529,5.813,0.2353,0.0305,7.3702,0.0411,4.5098,0.0249,0.0064,0.9911,0.0084,0.9337,0.0293,0.0122,1.2284,0.0165,1.8363,0.08900000000000001,0.0529,4.4957,0.0707,7.5758,0.0644,0.0153,3.272,0.0198,2.1073
