code,name,currentratio20161,quickratio20161,cashratio20161,icratio20161,sheqratio20161,adratio20161,currentratio20162,quickratio20162,cashratio20162,icratio20162,sheqratio20162,adratio20162,currentratio20163,quickratio20163,cashratio20163,icratio20163,sheqratio20163,adratio20163,currentratio20164,quickratio20164,cashratio20164,icratio20164,sheqratio20164,adratio20164,currentratio20171,quickratio20171,cashratio20171,icratio20171,sheqratio20171,adratio20171,currentratio20172,quickratio20172,cashratio20172,icratio20172,sheqratio20172,adratio20172,currentratio20173,quickratio20173,cashratio20173,icratio20173,sheqratio20173,adratio20173,currentratio20174,quickratio20174,cashratio20174,icratio20174,sheqratio20174,adratio20174,currentratio20181,quickratio20181,cashratio20181,icratio20181,sheqratio20181,adratio20181
300701,森霸传感,,,,,,,,,,,,,--,--,--,-83689.3534,--,--,6.2914,5.4058,264.0371,-20016.8444,88.2389,11.7611,--,--,--,-2777.2877,--,--,6.4342,5.4523,88.7194,-11532.6606,88.5629,11.4371,19.8318,18.6671,1334.4513,410530.7519,95.2804,4.7196,19.9951,19.0112,183.5028,312785.3936,95.3532,4.6468,20.842,19.7098,218.0689,8163.5319,95.6169,4.3831
300701,森霸传感,,,,,,,,,,,,,--,--,--,-83689.3534,--,--,6.2914,5.4058,264.0371,-20016.8444,88.2389,11.7611,--,--,--,-2777.2877,--,--,6.4342,5.4523,88.7194,-11532.6606,88.5629,11.4371,19.8318,18.6671,1334.4513,410530.7519,95.2804,4.7196,19.9951,19.0112,183.5028,312785.3936,95.3532,4.6468,20.842,19.7098,218.0689,8163.5319,95.6169,4.3831
600867,通化东宝,1.6423,0.7194,18.1412,1584.6570000000002,66.9583,33.0417,1.443,0.6,10.4837,1550.3991,64.4778,35.5222,2.9315,1.6947,92.1767,1595.0441,81.1017,18.8983,3.458,1.8181,36.8728,1723.9704,84.3901,15.6099,4.4625,2.6304,75.4811,5157.0616,87.1573,12.8427,3.8609,2.189,67.1626,5288.3352,85.5458,14.4542,5.2813,3.1153,77.6432,5823.7063,89.7765,10.2235,12.8008,7.2352,192.2633,7051.4607,95.4701,4.5299,13.5397,8.7969,252.71599999999998,-64529.6605,95.4653,4.5347
000576,广东甘化,3.6842,3.3778,232.2624,-79.6882,60.6811,39.3189,3.1514,2.4524,65.7994,-134.2334,82.9042,17.0958,3.1424,2.5276,57.6916,-308.4472,83.7123,16.2877,3.7511,3.5196,107.6282,853.5488,82.9565,17.0435,4.8873,4.4777,259.4688,-273.5134,76.1668,23.8332,9.1623,8.0517,366.8842,-201.4353,80.2833,19.7167,8.716000000000001,7.7463,144.3416,-216.9802,80.0359,19.9641,5.9404,5.4367,111.5936,-3058.3414,84.729,15.270999999999999,14.9393,14.6753,153.8984,183.0105,95.4452,4.5548
300741,华宝股份,,,,,,,,,,,,,,,,,,,4.7091,4.2595,259.7339,-3716.6045,85.0889,14.9111,--,--,--,-1552.583,--,--,6.3451,5.7776,419.6627,-1848.3088,88.6827,11.3173,,,,,,,9.1945,8.5446,652.6816,-1909.8078,91.90700000000001,8.093,17.8362,16.9608,1487.0023,-1060.3961,95.3851,4.6149
300741,华宝股份,,,,,,,,,,,,,,,,,,,4.7091,4.2595,259.7339,-3716.6045,85.0889,14.9111,--,--,--,-1552.5829999999999,--,--,6.3451,5.7776,419.6627,-1848.3088,88.6827,11.3173,,,,,,,9.1945,8.5446,652.6816,-1909.8078,91.90700000000001,8.093,17.8362,16.9608,1487.0023,-1060.3961,95.3851,4.6149
300443,金雷风电,5.0642,3.8915,187.9082,14829.9497,87.5275,12.4725,4.1896,3.108,97.4674,-4646.8414,86.3715,13.6285,7.1502,6.1077,293.4275,-4990.395,90.3617,9.6383,5.4706,4.763,159.1534,-1946.244,87.49700000000001,12.503,7.6189,6.6739,262.0638,2111.3446,91.0513,8.9487,8.8812,7.485,304.3786,1448.9581,92.5389,7.4611,9.4724,7.9607,227.093,880.5948,92.7407,7.2593,9.7787,8.052,291.1911,952.7725,93.3441,6.6559,13.8304,11.2392,342.8843,1031.3065,95.2517,4.7483
002015,霞客环保,9.368,5.4508,298.4337,1915.3826,92.333,7.667000000000001,19.5501,13.3909,447.1587,5051.7102,96.5262,3.4738,14.7538,10.5643,329.5728,8270.9645,95.3586,4.6414,10.5198,5.2876,142.3382,10483.2361,93.4675,6.5325,11.9019,5.3629999999999995,251.7221,19822.717,94.2675,5.7325,8.7253,3.7569999999999997,116.5288,28487.8325,92.0748,7.9252,8.2762,3.5622,59.048,-4888.308,91.73899999999999,8.261000000000001,10.2941,5.1425,285.4812,5966.4233,93.2716,6.7284,13.992,7.1064,299.2166,4813.018,95.0538,4.9462
000038,深大通,0.8459,0.4574,19.6566,-41687.241,58.7492,41.2508,2.6042,2.2188,187.3911,-37028.0001,75.5316,24.4684,3.1588,2.6599,168.516,-3433.0273,79.1716,20.8284,3.1353,2.6068,190.3399,-4122.3855,79.9847,20.0153,4.0827,3.5909,164.5395,-557.0728,84.3125,15.6875,4.7447,4.2865,184.9482,-984.2406,86.0634,13.9366,12.2096,12.2091,643.9730000000001,-1155.8077,93.2004,6.7996,9.2928,9.2926,542.2172,-1084.6359,93.50200000000001,6.497999999999999,12.0612,12.0609,721.7339,-165.0073,95.0155,4.9845
603758,秦安股份,--,--,--,2942.4471,--,--,--,--,--,2440.7398,--,--,,,,,,,1.4925,0.9131,33.6596,2101.7001,69.7913,30.2087,1.7788,0.9608,27.1386,3298.4605,75.2659,24.7341,5.2522,3.6203,189.8737,3277.3289,90.8784,9.1216,6.1576,4.4482,223.8895,4640.9191,91.9745,8.0255,6.8182,5.0669,354.5682,21758.8476,92.5991,7.4009,9.8173,7.4063,464.2583,-31.3233,94.8432,5.1568
