code,gailv,name
2514,0.035128009889443965,宝馨科技
603638,0.16553678795946788,艾迪精密
600867,0.3548941494109031,通化东宝
600323,0.39465820469544804,瀚蓝环境
2078,0.6814183419915844,太阳纸业
2763,0.14016129066939606,汇洁股份
2415,0.6392876970306203,海康威视
703,0.6133988647158337,恒逸石化
2507,0.3488911759085845,涪陵榨菜
600808,0.48729194668144676,马钢股份
600612,0.48181339058023215,老凤祥
600828,0.3921361004600596,茂业商业
2832,0.16553678795946788,比音勒芬
603517,0.16553678795946788,绝味食品
600352,0.5950939452744802,浙江龙盛
600567,0.4234219806010888,山鹰纸业
603387,0.16553678795946788,基蛋生物
600618,0.40626100751782573,氯碱化工
600031,0.2857008720875121,三一重工
2773,0.29399609131537807,康弘药业
600346,0.5305345421771489,恒力股份
