code,name,mbrg20161,nprg20161,nav20161,targ20161,epsg20161,seg20161,mbrg20162,nprg20162,nav20162,targ20162,epsg20162,seg20162,mbrg20163,nprg20163,nav20163,targ20163,epsg20163,seg20163,mbrg20164,nprg20164,nav20164,targ20164,epsg20164,seg20164,mbrg20171,nprg20171,nav20171,targ20171,epsg20171,seg20171,mbrg20172,nprg20172,nav20172,targ20172,epsg20172,seg20172,mbrg20173,nprg20173,nav20173,targ20173,epsg20173,seg20173,mbrg20174,nprg20174,nav20174,targ20174,epsg20174,seg20174,mbrg20181,nprg20181,nav20181,targ20181,epsg20181,seg20181
600480,凌云股份,13.9797,36.0992,47.9871,14.5673,55.5556,64.8092,18.9595,27.8186,49.7039,13.5458,13.7931,67.0067,22.1086,39.0919,48.1402,13.4793,20.0,64.1719,22.8177,26.0052,10.4611,12.7117,27.026999999999997,5.7028,47.2892,70.7977,11.5223,20.4807,50.0,6.7194,36.7623,49.913999999999994,10.4635,22.6024,57.5758,5.9621,35.8637,45.7197,14.5196,24.7601,52.381,7.7588,33.1211,50.3053,11.0694,18.3388,55.3191,8.2242,11.3286,-10.3658,9.9425,18.6379,-28.5714,6.7144
600850,华东电脑,22.1446,84.8049,22.8724,34.6145,78.0331,19.3783,10.213,26.8414,18.9662,23.4938,-4.916,16.3328,6.3349,16.6664,18.1295,22.4278,-10.1598,15.794,-0.0647,-11.6679,8.8671,8.1319,-30.9026,12.1812,11.3795,21.1568,10.0419,0.5018,-6.9695,13.3902,11.0442,12.2664,10.9168,-1.7246,13.5838,15.6616,13.8676,5.74,10.2371,1.5381,6.5734,14.7429,8.9204,7.3289,10.4968,9.8764,4.3035,12.2812,8.8775,-10.5352,9.897,2.4812,-4.495,11.7913
300301,长方集团,100.0018,230.35,106.2961,75.1509,-19.3916,82.609,19.2717,33.4507,67.4174,30.5272,-10.2694,65.8869,11.7338,5.9270000000000005,65.7941,28.855999999999998,-39.4662,64.0052,12.9771,-105.7938,53.482,23.2928,-154.5573,51.0982,28.3088,-50.9619,45.1599,18.9002,-87.2642,46.8527,17.6045,-36.6035,-0.6382,1.6831,-70.7317,-3.6555,16.8212,-18.1964,-0.9005,4.8904,-40.9449,-3.7748,,,,,,,-17.0285,-10.7344,4.1497,-0.3697,51.8519,1.7118
000751,锌业股份,-12.6841,1.5978,4.7144,15.2015,-1.0,4.6704,-5.8353,19.028,5.0826,16.1246,33.6667,5.0359,6.8401,34.8781,5.8005,12.837,34.0,5.7479,14.2051,48.0675,6.6963,13.7815,58.3333,6.6363,93.5352,173.5539,7.8433,15.5296,172.7273,7.7735,59.3532,42.5209,7.6785,2.2046,42.6434,7.6115,45.2803,30.6294,7.7732,11.3819,30.7463,7.7066,42.1397,68.8241,11.4432,0.6261,68.4211,10.5065,14.751,-11.0541,11.0509,5.5619,-11.1111,10.1336
300355,蒙草生态,-53.8535,-159.7081,36.3513,31.1978,-166.6667,38.7329,17.5579,4.8969,38.0427,40.6254,-50.0,40.7731,38.5989,61.8362,72.4269,57.3347,-26.4706,74.04,61.7571,113.0532,38.5553,54.3289,-2.7778,37.0527,,,,,,,154.2944,231.6626,48.5008,66.6709,92.3077,46.9389,146.3512,191.4166,27.636,81.6477,80.0,27.8381,95.0315,138.0164,27.5151,77.6437,51.4286,27.8185,58.8875,-11.1386,27.2755,79.3389,0.0,27.8992
000882,华联股份,-27.9817,-15.5945,-2.645,-8.3435,48.2143,4.3519,-17.4892,36.5359,-3.4105,-17.7823,29.375,5.5102,-23.1443,-45.996,-9.2292,-16.1819,-46.5205,-2.0009,-14.6629,-46.2832,-6.0886,-21.0104,-47.4798,1.7323,-15.9826,17.0576,22.1697,20.660999999999998,-50.6024,26.1768,-5.5947,-19.4333,24.2963,20.5787,-50.2415,25.5753,-0.2496,-71.4564,24.6041,28.9547,-80.0357,22.85,7.7633,-90.27,26.4217,29.2261,-85.7965,24.7457,36.301,-11.1624,-0.9213,-4.6713,-46.3415,-1.1689
600012,皖通高速,7.5901,7.1503,5.5388,11.0002,13.892999999999999,6.9714,3.9981,-3.07,6.0047,10.0133,2.2895,7.4374,2.8157,-5.6292,5.8384,7.8988,-0.2361,7.0605,2.972,-6.0384,5.7637,8.0728,-0.4951,6.9289,5.8139,19.8052,5.9633,4.5239,15.4599,7.1883,11.855,8.7974,5.8136,5.9132,8.8499,7.2805,14.3878,19.8127,6.4087,6.9765,17.8698,8.0695,14.495999999999999,19.4254,6.4744,8.0422,16.9362,8.067,1.6425,-11.3081,5.9178,7.438,-8.7006,7.5204
600090,同济堂,11.6676,67.3446,8.0322,6.209,75.7576,2.6611,421.0372,206.2751,559.9547,422.3503,107.3171,980.9312,404.4918,132.6178,525.6942,354.0444,34.6154,936.9762,646.6174,757.6581,616.1766,402.8287,985.7143,1104.5409,633.7280000000001,230.739,595.507,404.7794,55.1724,1077.5886,22.5255,36.7731,2.2963,-7.1126,0.0,6.649,23.0954,49.8909,3.5355,1.7874,33.3333,8.123,9.5456,5.3966,1.8009,-1.0045,-5.2632,6.2896,10.8508,-11.3864,1.4646,7.7021,0.0,6.178
300236,上海新阳,31.6631,130.6183,40.3212,48.0921,40.64,40.5103,10.9561,21.8081,37.8462,34.9889,-27.4286,38.0109,15.4498,12.4346,36.6787,35.7888,-19.3149,36.8168,12.3087,28.6766,38.4342,26.7374,0.0,37.1203,29.7033,11.3054,4.8285,-0.8746,5.9158,3.8137,20.7749,20.5222,4.4522,5.0637,17.5197,3.4344,16.2347,36.1955,4.1175,1.7861,33.4237,4.1912,14.114,34.4822,3.8437,2.9739999999999998,33.4643,5.0213,1.8393,-11.4356,3.6299,2.6173,-11.6004,4.7827
000521,美菱电器,8.7711,3.9753,-0.1159,-0.5019,-2.3611,-1.3651,6.8418,-30.8843,-1.2938,12.3115,-30.5689,-2.4256,19.4524,3.9965,0.2847,26.0782,2.0755,-0.7257,20.2661,937.5465,51.0632,37.9579,682.9971,50.5406,25.294,18.3354,50.0258,47.8867,-16.5007,50.3751,24.0462,-10.7611,48.8768,41.9662,-38.8194,48.7585,31.828000000000003,-22.9114,47.3017,25.2395,-46.8115,47.1047,34.093,-83.60600000000001,-0.1724,27.6148,-88.5536,-0.8654,15.7885,-11.4809,-0.4219,13.66,-8.1772,-1.0354
