code,name,arturnover20161,arturndays20161,inventory_turnover20161,inventory_days20161,currentasset_turnover20161,currentasset_days20161,arturnover20162,arturndays20162,inventory_turnover20162,inventory_days20162,currentasset_turnover20162,currentasset_days20162,arturnover20163,arturndays20163,inventory_turnover20163,inventory_days20163,currentasset_turnover20163,currentasset_days20163,arturnover20164,arturndays20164,inventory_turnover20164,inventory_days20164,currentasset_turnover20164,currentasset_days20164,arturnover20171,arturndays20171,inventory_turnover20171,inventory_days20171,currentasset_turnover20171,currentasset_days20171,arturnover20172,arturndays20172,inventory_turnover20172,inventory_days20172,currentasset_turnover20172,currentasset_days20172,arturnover20173,arturndays20173,inventory_turnover20173,inventory_days20173,currentasset_turnover20173,currentasset_days20173,arturnover20174,arturndays20174,inventory_turnover20174,inventory_days20174,currentasset_turnover20174,currentasset_days20174,arturnover20181,arturndays20181,inventory_turnover20181,inventory_days20181,currentasset_turnover20181,currentasset_days20181
300011,鼎汉技术,0.1956,460.1227,0.316,284.8101,0.1102,816.6969,0.4395,409.5563,0.7656,235.1097,0.2483,724.9295,0.7391,365.3092,1.3675,197.4406,0.4197,643.3167,1.1611,310.0508,2.2025,163.4506,0.6174,583.0904,0.2213,406.6878,0.4084,220.3722,0.1166,771.8696,0.5562,323.6246,1.0357,173.7955,0.3015,597.0149,0.8133,331.9808,1.6125,167.4419,0.4196,643.47,1.2908,278.8968,2.715,132.5967,0.6938,518.8815,0.2273,395.9525,0.5604,160.5996,0.1302,691.2442
603027,千禾味业,4.8971,18.3782,0.609,147.7833,0.4769,188.7188,10.2621,17.5403,1.1534,156.0603,0.9459,190.295,12.9075,20.9181,1.8496,145.9775,1.4405,187.4349,16.7991,21.4297,2.3802,151.2478,1.9542,184.2186,4.3277,20.7963,0.6931,129.8514,0.4718,190.7588,8.3998,21.4291,1.2236,147.1069,0.8897,202.3154,12.0979,22.3179,1.7407,155.11,1.239,217.9177,15.3201,23.4985,2.3764,151.4896,1.7224,209.0107,3.9033,23.0574,0.56,160.7143,0.3599,250.0695
002631,德尔未来,6.5778,13.6824,0.765,117.6471,0.2106,427.3504,14.0914,12.7737,1.5793,113.9745,0.5251,342.7918,22.9165,11.7819,2.2840000000000003,118.2137,0.8845,305.2572,30.6029,11.7636,3.5266,102.0813,1.157,311.1495,5.8894,15.2817,0.632,142.4051,0.3039,296.15,14.9789,12.0169,1.6119,111.6695,0.7238,248.6875,23.0621,11.7075,2.5545,105.6958,1.1334,238.2213,32.42,11.1043,3.4463,104.4599,1.5145,237.7022,5.1195,17.5798,0.5599,160.743,0.2432,370.0658
300444,双杰电气,0.2506,359.1381,0.6259,143.7929,0.107,841.1215,0.5739,313.6435,1.429,125.9622,0.2661,676.4374,1.026,263.1579,2.588,104.3277,0.5048,534.8653,1.6384,219.7266,5.7692,62.4003,0.8863,406.18300000000005,0.1638,549.4505,0.5167,174.1823,0.0972,925.9259,0.6071,296.4915,1.9639,91.6544,0.3664,491.2664,1.0257,263.2349,3.6085,74.8233,0.5826,463.4398,1.5329,234.84900000000002,5.5176,65.2458,0.9129,394.3477,0.2323,387.43,0.5592,160.9442,0.1319,682.3351
002855,捷荣技术,,,,,,,2.1044,85.5351,2.7934,64.4376,0.8089,222.5244,,,,,,,3.9696,90.6892,4.511,79.8049,1.5262,235.88,1.2085,74.4725,0.912,98.6842,0.3077,292.4927,2.0969,85.84100000000001,1.4509,124.0609,0.5660000000000001,318.0212,3.1391,86.0119,2.1948,123.01799999999999,0.8656,311.9224,4.1498,86.7512,2.9252,123.0685,1.1955,301.1292,1.0463,86.0174,0.5583,161.2037,0.2603,345.7549
600460,士兰微,0.8191,109.8767,0.4419,203.666,0.1814,496.1411,1.8642,96.5562,1.1475,156.8627,0.4267,421.842,2.9062,92.9048,1.9180000000000001,140.7716,0.7156,377.3058,4.1147,87.4912,2.6629,135.191,1.0101,356.4004,0.9378,95.9693,0.6852,131.3485,0.2446,367.9477,2.0044,89.8024,1.4396,125.0347,0.5287,340.4577,3.0219,89.3478,2.1841,123.6207,0.7916,341.0814,4.1069,87.6574,2.8418,126.6803,1.0581,340.2325,0.899,100.1112,0.5578,161.3482,0.2138,420.9542
000922,*ST佳电,0.3288,273.7226,0.3974,226.4721,0.1134,793.6508,0.6871,261.9706,0.8615,208.9379,0.2461,731.41,1.089,247.9339,1.4382,187.7347,0.392,688.7755,1.6197,222.2634,2.1221,169.6433,0.5884,611.8287,0.3175,283.4646,0.4649,193.59,0.1146,785.3403,0.9012,199.7337,1.3326,135.0743,0.3285,547.9452,1.4394,187.5782,1.9141,141.0585,0.5124,526.9321,2.2709,158.5275,2.9977,120.0921,0.8202,438.9173,0.5596,160.8292,0.5571,161.5509,0.1808,497.7876
000525,红太阳,1.2602,71.4172,0.5355,168.0672,0.2311,389.4418,2.7364,65.7799,1.3924,129.2732,0.5484,328.2276,4.24,63.6792,1.9958,135.2841,0.8274,326.3234,4.1067,87.6616,2.2835,157.6527,0.8749,411.4756,1.0386,86.6551,0.6422,140.1433,0.2368,380.0676,1.9194,93.7793,1.1986,150.1752,0.4726,380.8718,3.1606,85.4268,1.8158,148.6948,0.6827,395.4885,4.2523,84.6601,2.3732,151.6939,0.9259,388.8109,1.0737,83.8223,0.5562,161.8123,0.2302,390.9644
002738,中矿资源,0.0857,1050.175,0.1776,506.7568,0.0457,1969.3654,0.4034,446.2072,0.691,260.492,0.2176,827.2059,0.741,364.3725,1.65,163.6364,0.4087,660.6313,1.1299,318.6123,2.5434,141.5428,0.6202,580.4579,0.2004,449.1018,0.4655,193.3405,0.1117,805.7296,0.5239,343.577,0.9947,180.9591,0.2918,616.8609,0.8759999999999999,308.2192,1.6261,166.0414,0.4863,555.2128,1.3295,270.7785,3.1387,114.6972,0.7792,462.0123,0.2468,364.6677,0.5551,162.1329,0.1483,606.878
002530,金财互联,0.6565,137.0906,0.4287,209.937,0.1644,547.4453,1.2847,140.1105,0.7601,236.8109,0.3096,581.3953,1.8855,143.1981,1.1044,244.4766,0.4504,599.4671,2.7357,131.5934,2.0072,179.3543,0.3487,1032.4061,0.6265,143.6552,0.4601,195.6097,0.0697,1291.2482,1.3501,133.3235,0.9825,183.2061,0.1593,1129.9435,2.3825,113.3263,1.7264,156.3948,0.264,1022.7273,3.3905,106.179,3.0935,116.37299999999999,0.4268,843.4864,0.5161,174.3848,0.5549,162.1914,0.0828,1086.9565
